Feb. 20, 2020   15:55:08
A.C. Impedance
File: c:\[REDACTED]
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 2e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.025
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.961e+4, 9.891e+1, -2.748e+0, 9.894e+1, -1.6
8.252e+4, 9.912e+1, 1.603e+0, 9.913e+1, 0.9
6.812e+4, 9.911e+1, 7.538e-1, 9.912e+1, 0.4
5.625e+4, 9.922e+1, 6.836e-1, 9.922e+1, 0.4
4.644e+4, 9.931e+1, -7.515e-1, 9.931e+1, -0.4
3.833e+4, 9.947e+1, -1.521e+0, 9.948e+1, -0.9
3.164e+4, 9.965e+1, -2.508e+0, 9.968e+1, -1.4
2.612e+4, 9.989e+1, -3.224e+0, 9.994e+1, -1.8
2.153e+4, 1.002e+2, -4.086e+0, 1.002e+2, -2.3
1.777e+4, 1.005e+2, -4.955e+0, 1.006e+2, -2.8
1.470e+4, 1.008e+2, -5.964e+0, 1.010e+2, -3.4
1.211e+4, 1.012e+2, -7.081e+0, 1.015e+2, -4.0
1.001e+4, 1.017e+2, -8.357e+0, 1.021e+2, -4.7
8.252e+3, 1.023e+2, -9.789e+0, 1.027e+2, -5.5
6.812e+3, 1.029e+2, -1.141e+1, 1.035e+2, -6.3
5.625e+3, 1.036e+2, -1.327e+1, 1.045e+2, -7.3
4.643e+3, 1.045e+2, -1.543e+1, 1.056e+2, -8.4
3.833e+3, 1.055e+2, -1.796e+1, 1.070e+2, -9.7
3.164e+3, 1.066e+2, -2.088e+1, 1.087e+2, -11.1
2.612e+3, 1.080e+2, -2.427e+1, 1.107e+2, -12.7
2.153e+3, 1.098e+2, -2.817e+1, 1.133e+2, -14.4
1.777e+3, 1.119e+2, -3.261e+1, 1.165e+2, -16.3
1.470e+3, 1.144e+2, -3.769e+1, 1.204e+2, -18.2
1.211e+3, 1.174e+2, -4.344e+1, 1.252e+2, -20.3
1.001e+3, 1.212e+2, -4.991e+1, 1.310e+2, -22.4
8.252e+2, 1.256e+2, -5.711e+1, 1.380e+2, -24.4
6.836e+2, 1.310e+2, -6.517e+1, 1.463e+2, -26.5
5.615e+2, 1.373e+2, -7.416e+1, 1.560e+2, -28.4
4.639e+2, 1.447e+2, -8.405e+1, 1.673e+2, -30.2
3.809e+2, 1.532e+2, -9.467e+1, 1.801e+2, -31.7
3.174e+2, 1.630e+2, -1.062e+2, 1.946e+2, -33.1
2.588e+2, 1.742e+2, -1.187e+2, 2.107e+2, -34.3
2.148e+2, 1.868e+2, -1.320e+2, 2.287e+2, -35.2
1.758e+2, 2.008e+2, -1.462e+2, 2.484e+2, -36.1
1.465e+2, 2.159e+2, -1.611e+2, 2.694e+2, -36.7
1.221e+2, 2.333e+2, -1.776e+2, 2.932e+2, -37.3
9.766e+1, 2.524e+2, -1.954e+2, 3.192e+2, -37.7
8.254e+1, 2.727e+2, -2.141e+2, 3.467e+2, -38.1
6.813e+1, 2.949e+2, -2.345e+2, 3.768e+2, -38.5
5.623e+1, 3.189e+2, -2.568e+2, 4.095e+2, -38.8
4.642e+1, 3.450e+2, -2.813e+2, 4.452e+2, -39.2
3.831e+1, 3.734e+2, -3.081e+2, 4.841e+2, -39.5
3.162e+1, 4.041e+2, -3.376e+2, 5.266e+2, -39.9
2.610e+1, 4.373e+2, -3.704e+2, 5.730e+2, -40.3
2.154e+1, 4.731e+2, -4.068e+2, 6.239e+2, -40.7
1.778e+1, 5.118e+2, -4.475e+2, 6.799e+2, -41.2
1.468e+1, 5.533e+2, -4.934e+2, 7.413e+2, -41.7
1.212e+1, 5.975e+2, -5.452e+2, 8.088e+2, -42.4
1.000e+1, 6.445e+2, -6.041e+2, 8.834e+2, -43.1
8.254e+0, 6.954e+2, -6.721e+2, 9.671e+2, -44.0
6.813e+0, 7.508e+2, -7.510e+2, 1.062e+3, -45.0
5.623e+0, 8.108e+2, -8.430e+2, 1.170e+3, -46.1
4.642e+0, 8.766e+2, -9.518e+2, 1.294e+3, -47.4
3.831e+0, 9.469e+2, -1.077e+3, 1.434e+3, -48.7
3.162e+0, 1.023e+3, -1.227e+3, 1.598e+3, -50.2
2.610e+0, 1.107e+3, -1.404e+3, 1.788e+3, -51.7
2.154e+0, 1.200e+3, -1.636e+3, 2.029e+3, -53.7
1.778e+0, 1.301e+3, -1.920e+3, 2.320e+3, -55.9
1.468e+0, 1.401e+3, -2.221e+3, 2.626e+3, -57.8
1.212e+0, 1.507e+3, -2.548e+3, 2.960e+3, -59.4
1.000e+0, 1.628e+3, -2.894e+3, 3.321e+3, -60.6
8.254e-1, 1.763e+3, -3.289e+3, 3.732e+3, -61.8
