Potential (V)	Current (A)	Elapsed Time (s)	Frequency (Hz)	Zre (ohms)	Zim (ohms)	|Vac| (V)	|Iac| (A)	
3.49322700500488	-0.149962306022644	10	0	0	0	0	0	
3.4923050403595	-0.149962306022644	20	0	0	0	0	0	
3.49138307571411	-0.14996999502182	30	0	0	0	0	0	
3.49046111106873	-0.149954602122307	40	0	0	0	0	0	
3.49015402793884	-0.149962306022644	50	0	0	0	0	0	
3.48953890800476	-0.149962306022644	60	0	0	0	0	0	
3.48892402648926	-0.149977698922157	70	0	0	0	0	0	
3.48861694335938	-0.149962306022644	80	0	0	0	0	0	
3.48769497871399	-0.149954602122307	90	0	0	0	0	0	
3.4870810508728	-0.149962306022644	100	0	0	0	0	0	
3.4867730140686	-0.149954602122307	110	0	0	0	0	0	
3.48585104942322	-0.14996999502182	120	0	0	0	0	0	
3.48585104942322	-0.149962306022644	130	0	0	0	0	0	
3.48523688316345	-0.149962306022644	140	0	0	0	0	0	
3.48523688316345	-0.14996999502182	150	0	0	0	0	0	
3.48462200164795	-0.149962306022644	160	0	0	0	0	0	
3.48492908477783	-0.149947002530098	170	0	0	0	0	0	
3.48370003700256	-0.149962306022644	180	0	0	0	0	0	
3.48370003700256	-0.149962306022644	190	0	0	0	0	0	
3.48339295387268	-0.149954602122307	200	0	0	0	0	0	
3.48308610916138	-0.14996999502182	210	0	0	0	0	0	
3.48277807235718	-0.14996999502182	220	0	0	0	0	0	
3.48216390609741	-0.149954602122307	230	0	0	0	0	0	
3.48247098922729	-0.149962306022644	240	0	0	0	0	0	
3.48185610771179	-0.149954602122307	250	0	0	0	0	0	
3.48154902458191	-0.149954602122307	260	0	0	0	0	0	
3.48124194145203	-0.149962306022644	270	0	0	0	0	0	
3.48031997680664	-0.149962306022644	280	0	0	0	0	0	
3.48062705993652	-0.149962306022644	290	0	0	0	0	0	
3.48093390464783	-0.149962306022644	300	0	0	0	0	0	
3.48062705993652	-0.14996999502182	310	0	0	0	0	0	
3.48001289367676	-0.14996999502182	320	0	0	0	0	0	
3.48001289367676	-0.149954602122307	330	0	0	0	0	0	
3.47909092903137	-0.149947002530098	340	0	0	0	0	0	
3.47878289222717	-0.149962306022644	350	0	0	0	0	0	
3.47847604751587	-0.149954602122307	360	0	0	0	0	0	
3.47847604751587	-0.149954602122307	370	0	0	0	0	0	
3.47847604751587	-0.149962306022644	380	0	0	0	0	0	
3.47816896438599	-0.149962306022644	390	0	0	0	0	0	
3.47786092758179	-0.149962306022644	400	0	0	0	0	0	
3.47786092758179	-0.149954602122307	410	0	0	0	0	0	
3.47755408287048	-0.149954602122307	420	0	0	0	0	0	
3.4772469997406	-0.149977698922157	430	0	0	0	0	0	
3.47693991661072	-0.149962306022644	440	0	0	0	0	0	
3.4766321182251	-0.14996999502182	450	0	0	0	0	0	
3.47632503509521	-0.14996999502182	460	0	0	0	0	0	
3.4766321182251	-0.149962306022644	470	0	0	0	0	0	
3.47601795196533	-0.149962306022644	480	0	0	0	0	0	
3.47601795196533	-0.149962306022644	490	0	0	0	0	0	
3.47570991516113	-0.149954602122307	500	0	0	0	0	0	
3.47570991516113	-0.149962306022644	510	0	0	0	0	0	
3.47540307044983	-0.149954602122307	520	0	0	0	0	0	
3.47509598731995	-0.149962306022644	530	0	0	0	0	0	
3.47478795051575	-0.149962306022644	540	0	0	0	0	0	
3.47478795051575	-0.149977698922157	550	0	0	0	0	0	
3.47417402267456	-0.149962306022644	560	0	0	0	0	0	
3.47448110580444	-0.14996999502182	570	0	0	0	0	0	
3.47417402267456	-0.149954602122307	580	0	0	0	0	0	
3.47386598587036	-0.149977698922157	590	0	0	0	0	0	
3.47355890274048	-0.14996999502182	600	0	0	0	0	0	
3.47325205802917	-0.149962306022644	610	0	0	0	0	0	
3.47294497489929	-0.149954602122307	620	0	0	0	0	0	
3.47294497489929	-0.149947002530098	630	0	0	0	0	0	
3.47233009338379	-0.149947002530098	640	0	0	0	0	0	
3.47263693809509	-0.149962306022644	650	0	0	0	0	0	
3.47233009338379	-0.149977698922157	660	0	0	0	0	0	
3.47202301025391	-0.149977698922157	670	0	0	0	0	0	
3.47202301025391	-0.149962306022644	680	0	0	0	0	0	
3.47171497344971	-0.14996999502182	690	0	0	0	0	0	
3.47171497344971	-0.149962306022644	700	0	0	0	0	0	
3.47140789031982	-0.149962306022644	710	0	0	0	0	0	
3.47079300880432	-0.14996999502182	720	0	0	0	0	0	
3.47048592567444	-0.149947002530098	730	0	0	0	0	0	
3.47079300880432	-0.149962306022644	740	0	0	0	0	0	
3.47048592567444	-0.149962306022644	750	0	0	0	0	0	
3.47017908096313	-0.14996999502182	760	0	0	0	0	0	
3.46987199783325	-0.149977698922157	770	0	0	0	0	0	
3.46956396102905	-0.14996999502182	780	0	0	0	0	0	
3.46956396102905	-0.149962306022644	790	0	0	0	0	0	
3.46925711631775	-0.14996999502182	800	0	0	0	0	0	
3.46925711631775	-0.149962306022644	810	0	0	0	0	0	
3.46895003318787	-0.149977698922157	820	0	0	0	0	0	
3.46833491325378	-0.149954602122307	830	0	0	0	0	0	
3.46833491325378	-0.149962306022644	840	0	0	0	0	0	
3.46833491325378	-0.149977698922157	850	0	0	0	0	0	
3.46802806854248	-0.149962306022644	860	0	0	0	0	0	
3.4677209854126	-0.149962306022644	870	0	0	0	0	0	
3.4677209854126	-0.14996999502182	880	0	0	0	0	0	
3.4677209854126	-0.14996999502182	890	0	0	0	0	0	
3.46710610389709	-0.149954602122307	900	0	0	0	0	0	
3.46679902076721	-0.149947002530098	910	0	0	0	0	0	
3.46679902076721	-0.149962306022644	920	0	0	0	0	0	
3.46679902076721	-0.149962306022644	930	0	0	0	0	0	
3.46618390083313	-0.149962306022644	940	0	0	0	0	0	
3.46587705612183	-0.14996999502182	950	0	0	0	0	0	
3.46556901931763	-0.149954602122307	960	0	0	0	0	0	
3.46556901931763	-0.149954602122307	970	0	0	0	0	0	
3.46556901931763	-0.149962306022644	980	0	0	0	0	0	
3.46526193618774	-0.149962306022644	990	0	0	0	0	0	
3.46526193618774	-0.149954602122307	1000	0	0	0	0	0	
3.46464800834656	-0.149962306022644	1010	0	0	0	0	0	
3.46464800834656	-0.149947002530098	1020	0	0	0	0	0	
3.46433997154236	-0.149954602122307	1030	0	0	0	0	0	
3.46403288841248	-0.14996999502182	1040	0	0	0	0	0	
3.46372604370117	-0.14996999502182	1050	0	0	0	0	0	
3.46372604370117	-0.149977698922157	1060	0	0	0	0	0	
3.46311092376709	-0.149962306022644	1070	0	0	0	0	0	
3.46311092376709	-0.149962306022644	1080	0	0	0	0	0	
3.46311092376709	-0.149954602122307	1090	0	0	0	0	0	
3.46280407905579	-0.149977698922157	1100	0	0	0	0	0	
3.4621889591217	-0.149962306022644	1110	0	0	0	0	0	
3.4618821144104	-0.149962306022644	1120	0	0	0	0	0	
3.4618821144104	-0.149977698922157	1130	0	0	0	0	0	
3.46126699447632	-0.149962306022644	1140	0	0	0	0	0	
3.46126699447632	-0.149962306022644	1150	0	0	0	0	0	
3.46095991134644	-0.149962306022644	1160	0	0	0	0	0	
3.46034502983093	-0.149962306022644	1170	0	0	0	0	0	
3.46065306663513	-0.14996999502182	1180	0	0	0	0	0	
3.46034502983093	-0.149947002530098	1190	0	0	0	0	0	
3.46003794670105	-0.14996999502182	1200	0	0	0	0	0	
3.45942306518555	-0.149954602122307	1210	0	0	0	0	0	
3.45942306518555	-0.14996999502182	1220	0	0	0	0	0	
3.45911598205566	-0.149977698922157	1230	0	0	0	0	0	
3.45850205421448	-0.14996999502182	1240	0	0	0	0	0	
3.45819401741028	-0.149962306022644	1250	0	0	0	0	0	
3.45819401741028	-0.14996999502182	1260	0	0	0	0	0	
3.45819401741028	-0.14996999502182	1270	0	0	0	0	0	
