Frequency	 Zre	 Zimg
0.1	 423929.46	 -49014.063
0.17854992	 407724.77	 -44951.636
0.31880073	 393610.92	 -41207.904
0.56921845	 380855.3	 -38609.417
1.0163391	 368303.75	 -38403.847
1.8146726	 355620.08	 -38865.422
3.2400964	 342669.59	 -40856.382
5.7851894	 326400.15	 -42072.753
10.329451	 310309.77	 -42701.163
18.443226	 293257.73	 -43531.868
32.930365	 272125.84	 -41773.454
58.79714	 257101.27	 -49735.17
104.98225	 246617.86	 -23804.949
187.44571	 236526.34	 -16131.9
334.68417	 229582.56	 -24428.137
597.57831	 222018.3	 -21951.26
1066.9756	 215427.54	 -20820.892
1905.084	 208362.26	 -20101.991
3401.526	 200923.4	 -30050.48
6073.4218	 192890.56	 -40284.586
10844.09	 181958.74	 -62039.679
19362.113	 152457.91	 -86830.249
34571.037	 98568.678	 -105476.2
61726.559	 30854.758	 -90093.313
110212.72	 4716.4675	 -50840.594
196784.72	 4266.6691	 -25846.006
351358.96	 4175.3844	 -14003.348
627351.13	 4713.6726	 -4331.2465
1120134.9	 -1075.6649	 -713.75358
2000000	 -470.54113	 -1397.7358
